EXPORT_COUNTER, ZERO, ONE, CRC, FLOWMON_STARTUP_TIME_SEC, FLOWMON_STARTUP_TIME_MSEC, FLOWMON_STARTUP_TIME_USEC, FLOWMON_STARTUP_TIME_NSEC, BYTES, PACKETS, START_SEC, START_MSEC, START_USEC, START_NSEC, END_SEC, END_MSEC, END_USEC, END_NSEC, INPUT_INTERFACE, QUEUE_ID, FLAG_FLUSH, L3_PROTO, L4_PROTO, BYTES_A, PACKETS_A, START_SEC_A, START_MSEC_A, START_USEC_A, START_NSEC_A, END_SEC_A, END_MSEC_A, END_USEC_A, END_NSEC_A, BYTES_B, PACKETS_B, START_SEC_B, START_MSEC_B, START_USEC_B, START_NSEC_B, END_SEC_B, END_MSEC_B, END_USEC_B, END_NSEC_B, L3_IPV4_SRC, L3_IPV4_DST, L3_IPV6_SRC, L3_IPV6_DST, L4_TCP_FLAGS, L4_TCP_FLAGS_A, L4_TCP_FLAGS_B, L4_PORT_SRC, L4_PORT_DST, L4_ICMP_TYPE_CODE, FLAG_MISC, SAMPLING_RATE, SAMPLING_ALGORITHM, MODBUS_UNIT_ID, MODBUS_READ_REQUESTS, MODBUS_WRITE_REQUESTS, MODBUS_DIAGNOSTIC_REQUESTS, MODBUS_OTHER_REQUESTS, MODBUS_UNDEFINED_REQUESTS, MODBUS_SUCCESS_RESPONSES, MODBUS_ERROR_RESPONSES
0, 0,1,13804733603464758206,2023-03-30 21:19:42.948292023,2023-03-30 21:19:42.948292023,2023-03-30 21:19:42.948292023,2023-03-30 21:19:42.948292023,712,12,2023-03-30 21:19:45.911291543,2023-03-30 21:19:45.911291543,2023-03-30 21:19:45.911291543,2023-03-30 21:19:45.911291543,2023-03-30 21:19:47.431480679,2023-03-30 21:19:47.431480679,2023-03-30 21:19:47.431480679,2023-03-30 21:19:47.431480679,0,0,5,4,6,464,8,2023-03-30 21:19:45.911291543,2023-03-30 21:19:45.911291543,2023-03-30 21:19:45.911291543,2023-03-30 21:19:45.911291543,2023-03-30 21:19:47.431480679,2023-03-30 21:19:47.431480679,2023-03-30 21:19:47.431480679,2023-03-30 21:19:47.431480679,248,4,2023-03-30 21:19:45.912279050,2023-03-30 21:19:45.912279050,2023-03-30 21:19:45.912279050,2023-03-30 21:19:45.912279050,2023-03-30 21:19:47.431479290,2023-03-30 21:19:47.431479290,2023-03-30 21:19:47.431479290,2023-03-30 21:19:47.431479290,192.168.88.250,192.168.88.253,NIL,NIL,---AP---,---AP---,---AP---,55182,502,NIL,769,0,0,1,4,NIL,NIL,NIL,NIL,4,NIL
1, 0,1,13804733603464758206,2023-03-30 21:19:42.948292023,2023-03-30 21:19:42.948292023,2023-03-30 21:19:42.948292023,2023-03-30 21:19:42.948292023,712,12,2023-03-30 21:20:00.107405042,2023-03-30 21:20:00.107405042,2023-03-30 21:20:00.107405042,2023-03-30 21:20:00.107405042,2023-03-30 21:20:01.629317433,2023-03-30 21:20:01.629317433,2023-03-30 21:20:01.629317433,2023-03-30 21:20:01.629317433,0,0,5,4,6,464,8,2023-03-30 21:20:00.107405042,2023-03-30 21:20:00.107405042,2023-03-30 21:20:00.107405042,2023-03-30 21:20:00.107405042,2023-03-30 21:20:01.629317433,2023-03-30 21:20:01.629317433,2023-03-30 21:20:01.629317433,2023-03-30 21:20:01.629317433,248,4,2023-03-30 21:20:00.108247920,2023-03-30 21:20:00.108247920,2023-03-30 21:20:00.108247920,2023-03-30 21:20:00.108247920,2023-03-30 21:20:01.629315941,2023-03-30 21:20:01.629315941,2023-03-30 21:20:01.629315941,2023-03-30 21:20:01.629315941,192.168.88.250,192.168.88.253,NIL,NIL,---AP---,---AP---,---AP---,55182,502,NIL,769,0,0,1,4,NIL,NIL,NIL,NIL,4,NIL
2, 0,1,13804733603464758206,2023-03-30 21:19:42.948292023,2023-03-30 21:19:42.948292023,2023-03-30 21:19:42.948292023,2023-03-30 21:19:42.948292023,712,12,2023-03-30 21:20:14.302415564,2023-03-30 21:20:14.302415564,2023-03-30 21:20:14.302415564,2023-03-30 21:20:14.302415564,2023-03-30 21:20:15.824232196,2023-03-30 21:20:15.824232196,2023-03-30 21:20:15.824232196,2023-03-30 21:20:15.824232196,0,0,5,4,6,464,8,2023-03-30 21:20:14.302415564,2023-03-30 21:20:14.302415564,2023-03-30 21:20:14.302415564,2023-03-30 21:20:14.302415564,2023-03-30 21:20:15.824232196,2023-03-30 21:20:15.824232196,2023-03-30 21:20:15.824232196,2023-03-30 21:20:15.824232196,248,4,2023-03-30 21:20:14.303375259,2023-03-30 21:20:14.303375259,2023-03-30 21:20:14.303375259,2023-03-30 21:20:14.303375259,2023-03-30 21:20:15.824230659,2023-03-30 21:20:15.824230659,2023-03-30 21:20:15.824230659,2023-03-30 21:20:15.824230659,192.168.88.250,192.168.88.253,NIL,NIL,---AP---,---AP---,---AP---,55182,502,NIL,769,0,0,1,4,NIL,NIL,NIL,NIL,4,NIL
3, 0,1,15445526874128570627,2023-03-30 21:19:42.948292023,2023-03-30 21:19:42.948292023,2023-03-30 21:19:42.948292023,2023-03-30 21:19:42.948292023,48,1,2023-03-30 21:20:26.659669199,2023-03-30 21:20:26.659669199,2023-03-30 21:20:26.659669199,2023-03-30 21:20:26.659669199,2023-03-30 21:20:26.659669199,2023-03-30 21:20:26.659669199,2023-03-30 21:20:26.659669199,2023-03-30 21:20:26.659669199,0,0,5,6,58,48,1,2023-03-30 21:20:26.659669199,2023-03-30 21:20:26.659669199,2023-03-30 21:20:26.659669199,2023-03-30 21:20:26.659669199,2023-03-30 21:20:26.659669199,2023-03-30 21:20:26.659669199,2023-03-30 21:20:26.659669199,2023-03-30 21:20:26.659669199,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,fe80::5068:6e82:cf19:ad52,ff02::2,NIL,NIL,NIL,NIL,NIL,34048,641,0,0,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
4, 0,1,13804733603464758206,2023-03-30 21:19:42.948292023,2023-03-30 21:19:42.948292023,2023-03-30 21:19:42.948292023,2023-03-30 21:19:42.948292023,712,12,2023-03-30 21:20:28.501882421,2023-03-30 21:20:28.501882421,2023-03-30 21:20:28.501882421,2023-03-30 21:20:28.501882421,2023-03-30 21:20:30.024374095,2023-03-30 21:20:30.024374095,2023-03-30 21:20:30.024374095,2023-03-30 21:20:30.024374095,0,0,5,4,6,464,8,2023-03-30 21:20:28.501882421,2023-03-30 21:20:28.501882421,2023-03-30 21:20:28.501882421,2023-03-30 21:20:28.501882421,2023-03-30 21:20:30.024374095,2023-03-30 21:20:30.024374095,2023-03-30 21:20:30.024374095,2023-03-30 21:20:30.024374095,248,4,2023-03-30 21:20:28.502703352,2023-03-30 21:20:28.502703352,2023-03-30 21:20:28.502703352,2023-03-30 21:20:28.502703352,2023-03-30 21:20:30.024368862,2023-03-30 21:20:30.024368862,2023-03-30 21:20:30.024368862,2023-03-30 21:20:30.024368862,192.168.88.250,192.168.88.253,NIL,NIL,---AP---,---AP---,---AP---,55182,502,NIL,769,0,0,1,4,NIL,NIL,NIL,NIL,4,NIL
5, 0,1,17732036128857544588,2023-03-30 21:19:42.948292023,2023-03-30 21:19:42.948292023,2023-03-30 21:19:42.948292023,2023-03-30 21:19:42.948292023,137,1,2023-03-30 21:20:30.687687855,2023-03-30 21:20:30.687687855,2023-03-30 21:20:30.687687855,2023-03-30 21:20:30.687687855,2023-03-30 21:20:30.687687855,2023-03-30 21:20:30.687687855,2023-03-30 21:20:30.687687855,2023-03-30 21:20:30.687687855,0,0,5,4,17,137,1,2023-03-30 21:20:30.687687855,2023-03-30 21:20:30.687687855,2023-03-30 21:20:30.687687855,2023-03-30 21:20:30.687687855,2023-03-30 21:20:30.687687855,2023-03-30 21:20:30.687687855,2023-03-30 21:20:30.687687855,2023-03-30 21:20:30.687687855,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,192.168.88.1,255.255.255.255,NIL,NIL,NIL,NIL,NIL,5678,5678,NIL,256,0,0,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
6, 0,1,17172376606672867399,2023-03-30 21:19:42.948292023,2023-03-30 21:19:42.948292023,2023-03-30 21:19:42.948292023,2023-03-30 21:19:42.948292023,21696,351,2023-03-30 21:19:43.298365162,2023-03-30 21:19:43.298365162,2023-03-30 21:19:43.298365162,2023-03-30 21:19:43.298365162,2023-03-30 21:20:43.258213325,2023-03-30 21:20:43.258213325,2023-03-30 21:20:43.258213325,2023-03-30 21:20:43.258213325,0,0,4,4,6,12608,209,2023-03-30 21:19:43.298365162,2023-03-30 21:19:43.298365162,2023-03-30 21:19:43.298365162,2023-03-30 21:19:43.298365162,2023-03-30 21:20:43.258213325,2023-03-30 21:20:43.258213325,2023-03-30 21:20:43.258213325,2023-03-30 21:20:43.258213325,9088,142,2023-03-30 21:19:43.299858346,2023-03-30 21:19:43.299858346,2023-03-30 21:19:43.299858346,2023-03-30 21:19:43.299858346,2023-03-30 21:20:43.215556009,2023-03-30 21:20:43.215556009,2023-03-30 21:20:43.215556009,2023-03-30 21:20:43.215556009,192.168.88.250,192.168.88.254,NIL,NIL,---AP---,---AP---,---AP---,51212,502,NIL,769,0,0,1,NIL,143,NIL,NIL,NIL,142,NIL
7, 0,1,10818837308906651424,2023-03-30 21:19:42.948292023,2023-03-30 21:19:42.948292023,2023-03-30 21:19:42.948292023,2023-03-30 21:19:42.948292023,26146,425,2023-03-30 21:19:44.404915371,2023-03-30 21:19:44.404915371,2023-03-30 21:19:44.404915371,2023-03-30 21:19:44.404915371,2023-03-30 21:20:42.201457232,2023-03-30 21:20:42.201457232,2023-03-30 21:20:42.201457232,2023-03-30 21:20:42.201457232,0,0,4,4,6,15340,256,2023-03-30 21:19:44.404915371,2023-03-30 21:19:44.404915371,2023-03-30 21:19:44.404915371,2023-03-30 21:19:44.404915371,2023-03-30 21:20:42.201457232,2023-03-30 21:20:42.201457232,2023-03-30 21:20:42.201457232,2023-03-30 21:20:42.201457232,10806,169,2023-03-30 21:19:44.405682067,2023-03-30 21:19:44.405682067,2023-03-30 21:19:44.405682067,2023-03-30 21:19:44.405682067,2023-03-30 21:20:42.201372115,2023-03-30 21:20:42.201372115,2023-03-30 21:20:42.201372115,2023-03-30 21:20:42.201372115,192.168.88.250,192.168.88.252,NIL,NIL,---AP---,---AP---,---AP---,57380,502,NIL,769,0,0,1,5,165,NIL,NIL,NIL,169,NIL
8, 0,1,11768789151576669133,2023-03-30 21:19:42.948292023,2023-03-30 21:19:42.948292023,2023-03-30 21:19:42.948292023,2023-03-30 21:19:42.948292023,5248,16,2023-03-30 21:19:45.609499278,2023-03-30 21:19:45.609499278,2023-03-30 21:19:45.609499278,2023-03-30 21:19:45.609499278,2023-03-30 21:20:44.079198277,2023-03-30 21:20:44.079198277,2023-03-30 21:20:44.079198277,2023-03-30 21:20:44.079198277,0,0,4,4,17,5248,16,2023-03-30 21:19:45.609499278,2023-03-30 21:19:45.609499278,2023-03-30 21:19:45.609499278,2023-03-30 21:19:45.609499278,2023-03-30 21:20:44.079198277,2023-03-30 21:20:44.079198277,2023-03-30 21:20:44.079198277,2023-03-30 21:20:44.079198277,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,0.0.0.0,255.255.255.255,NIL,NIL,NIL,NIL,NIL,68,67,NIL,256,0,0,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
9, 0,1,13804733603464758206,2023-03-30 21:19:42.948292023,2023-03-30 21:19:42.948292023,2023-03-30 21:19:42.948292023,2023-03-30 21:19:42.948292023,712,12,2023-03-30 21:20:42.702516174,2023-03-30 21:20:42.702516174,2023-03-30 21:20:42.702516174,2023-03-30 21:20:42.702516174,2023-03-30 21:20:44.226015854,2023-03-30 21:20:44.226015854,2023-03-30 21:20:44.226015854,2023-03-30 21:20:44.226015854,0,0,5,4,6,464,8,2023-03-30 21:20:42.702516174,2023-03-30 21:20:42.702516174,2023-03-30 21:20:42.702516174,2023-03-30 21:20:42.702516174,2023-03-30 21:20:44.226015854,2023-03-30 21:20:44.226015854,2023-03-30 21:20:44.226015854,2023-03-30 21:20:44.226015854,248,4,2023-03-30 21:20:42.703553278,2023-03-30 21:20:42.703553278,2023-03-30 21:20:42.703553278,2023-03-30 21:20:42.703553278,2023-03-30 21:20:44.225928645,2023-03-30 21:20:44.225928645,2023-03-30 21:20:44.225928645,2023-03-30 21:20:44.225928645,192.168.88.250,192.168.88.253,NIL,NIL,---AP---,---AP---,---AP---,55182,502,NIL,769,0,0,1,4,NIL,NIL,NIL,NIL,4,NIL
