EXPORT_COUNTER, ZERO, ONE, CRC, FLOWMON_STARTUP_TIME_SEC, FLOWMON_STARTUP_TIME_MSEC, FLOWMON_STARTUP_TIME_USEC, FLOWMON_STARTUP_TIME_NSEC, BYTES, PACKETS, START_SEC, START_MSEC, START_USEC, START_NSEC, END_SEC, END_MSEC, END_USEC, END_NSEC, INPUT_INTERFACE, QUEUE_ID, FLAG_FLUSH, L3_PROTO, L4_PROTO, BYTES_A, PACKETS_A, START_SEC_A, START_MSEC_A, START_USEC_A, START_NSEC_A, END_SEC_A, END_MSEC_A, END_USEC_A, END_NSEC_A, BYTES_B, PACKETS_B, START_SEC_B, START_MSEC_B, START_USEC_B, START_NSEC_B, END_SEC_B, END_MSEC_B, END_USEC_B, END_NSEC_B, L3_IPV4_SRC, L3_IPV4_DST, L3_IPV6_SRC, L3_IPV6_DST, L4_TCP_FLAGS, L4_TCP_FLAGS_A, L4_TCP_FLAGS_B, L4_PORT_SRC, L4_PORT_DST, L4_ICMP_TYPE_CODE, FLAG_MISC, SAMPLING_RATE, SAMPLING_ALGORITHM, MODBUS_UNIT_ID, MODBUS_READ_REQUESTS, MODBUS_WRITE_REQUESTS, MODBUS_DIAGNOSTIC_REQUESTS, MODBUS_OTHER_REQUESTS, MODBUS_UNDEFINED_REQUESTS, MODBUS_SUCCESS_RESPONSES, MODBUS_ERROR_RESPONSES
0, 0,1,18442953402934172945,2023-03-30 21:17:14.643389497,2023-03-30 21:17:14.643389497,2023-03-30 21:17:14.643389497,2023-03-30 21:17:14.643389497,142,3,2023-03-30 21:17:17.495431451,2023-03-30 21:17:17.495431451,2023-03-30 21:17:17.495431451,2023-03-30 21:17:17.495431451,2023-03-30 21:17:17.536968364,2023-03-30 21:17:17.536968364,2023-03-30 21:17:17.536968364,2023-03-30 21:17:17.536968364,0,0,5,4,6,92,2,2023-03-30 21:17:17.495431451,2023-03-30 21:17:17.495431451,2023-03-30 21:17:17.495431451,2023-03-30 21:17:17.495431451,2023-03-30 21:17:17.536968364,2023-03-30 21:17:17.536968364,2023-03-30 21:17:17.536968364,2023-03-30 21:17:17.536968364,50,1,2023-03-30 21:17:17.496100529,2023-03-30 21:17:17.496100529,2023-03-30 21:17:17.496100529,2023-03-30 21:17:17.496100529,2023-03-30 21:17:17.496100529,2023-03-30 21:17:17.496100529,2023-03-30 21:17:17.496100529,2023-03-30 21:17:17.496100529,192.168.88.250,192.168.88.253,NIL,NIL,---AP---,---AP---,---AP---,50651,502,NIL,769,0,0,1,1,NIL,NIL,NIL,NIL,1,NIL
1, 0,1,17992970509632545461,2023-03-30 21:17:14.643389497,2023-03-30 21:17:14.643389497,2023-03-30 21:17:14.643389497,2023-03-30 21:17:14.643389497,60,1,2023-03-30 21:17:20.675930521,2023-03-30 21:17:20.675930521,2023-03-30 21:17:20.675930521,2023-03-30 21:17:20.675930521,2023-03-30 21:17:20.675930521,2023-03-30 21:17:20.675930521,2023-03-30 21:17:20.675930521,2023-03-30 21:17:20.675930521,0,0,5,4,6,60,1,2023-03-30 21:17:20.675930521,2023-03-30 21:17:20.675930521,2023-03-30 21:17:20.675930521,2023-03-30 21:17:20.675930521,2023-03-30 21:17:20.675930521,2023-03-30 21:17:20.675930521,2023-03-30 21:17:20.675930521,2023-03-30 21:17:20.675930521,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,192.168.88.199,91.189.91.48,NIL,NIL,------S-,------S-,NIL,57660,80,NIL,641,0,0,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
2, 0,1,11241888319482775682,2023-03-30 21:17:14.643389497,2023-03-30 21:17:14.643389497,2023-03-30 21:17:14.643389497,2023-03-30 21:17:14.643389497,60,1,2023-03-30 21:17:20.675337517,2023-03-30 21:17:20.675337517,2023-03-30 21:17:20.675337517,2023-03-30 21:17:20.675337517,2023-03-30 21:17:20.675337517,2023-03-30 21:17:20.675337517,2023-03-30 21:17:20.675337517,2023-03-30 21:17:20.675337517,0,0,5,4,6,60,1,2023-03-30 21:17:20.675337517,2023-03-30 21:17:20.675337517,2023-03-30 21:17:20.675337517,2023-03-30 21:17:20.675337517,2023-03-30 21:17:20.675337517,2023-03-30 21:17:20.675337517,2023-03-30 21:17:20.675337517,2023-03-30 21:17:20.675337517,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,192.168.88.199,35.224.170.84,NIL,NIL,------S-,------S-,NIL,49196,80,NIL,641,0,0,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
3, 0,1,15740298709843462382,2023-03-30 21:17:14.643389497,2023-03-30 21:17:14.643389497,2023-03-30 21:17:14.643389497,2023-03-30 21:17:14.643389497,60,1,2023-03-30 21:17:20.676869311,2023-03-30 21:17:20.676869311,2023-03-30 21:17:20.676869311,2023-03-30 21:17:20.676869311,2023-03-30 21:17:20.676869311,2023-03-30 21:17:20.676869311,2023-03-30 21:17:20.676869311,2023-03-30 21:17:20.676869311,0,0,5,4,6,60,1,2023-03-30 21:17:20.676869311,2023-03-30 21:17:20.676869311,2023-03-30 21:17:20.676869311,2023-03-30 21:17:20.676869311,2023-03-30 21:17:20.676869311,2023-03-30 21:17:20.676869311,2023-03-30 21:17:20.676869311,2023-03-30 21:17:20.676869311,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,192.168.88.199,34.122.121.32,NIL,NIL,------S-,------S-,NIL,58586,80,NIL,641,0,0,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
4, 0,1,15568370071443895571,2023-03-30 21:17:14.643389497,2023-03-30 21:17:14.643389497,2023-03-30 21:17:14.643389497,2023-03-30 21:17:14.643389497,792,9,2023-03-30 21:17:20.674703525,2023-03-30 21:17:20.674703525,2023-03-30 21:17:20.674703525,2023-03-30 21:17:20.674703525,2023-03-30 21:17:21.693484404,2023-03-30 21:17:21.693484404,2023-03-30 21:17:21.693484404,2023-03-30 21:17:21.693484404,0,0,5,4,1,792,9,2023-03-30 21:17:20.674703525,2023-03-30 21:17:20.674703525,2023-03-30 21:17:20.674703525,2023-03-30 21:17:20.674703525,2023-03-30 21:17:21.693484404,2023-03-30 21:17:21.693484404,2023-03-30 21:17:21.693484404,2023-03-30 21:17:21.693484404,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,192.168.88.1,192.168.88.199,NIL,NIL,NIL,NIL,NIL,NIL,NIL,768,256,0,0,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
5, 0,1,17265666914225015226,2023-03-30 21:17:14.643389497,2023-03-30 21:17:14.643389497,2023-03-30 21:17:14.643389497,2023-03-30 21:17:14.643389497,60,1,2023-03-30 21:17:20.676408110,2023-03-30 21:17:20.676408110,2023-03-30 21:17:20.676408110,2023-03-30 21:17:20.676408110,2023-03-30 21:17:20.676408110,2023-03-30 21:17:20.676408110,2023-03-30 21:17:20.676408110,2023-03-30 21:17:20.676408110,0,0,5,4,6,60,1,2023-03-30 21:17:20.676408110,2023-03-30 21:17:20.676408110,2023-03-30 21:17:20.676408110,2023-03-30 21:17:20.676408110,2023-03-30 21:17:20.676408110,2023-03-30 21:17:20.676408110,2023-03-30 21:17:20.676408110,2023-03-30 21:17:20.676408110,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,192.168.88.199,185.125.190.49,NIL,NIL,------S-,------S-,NIL,45748,80,NIL,641,0,0,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
6, 0,1,14708467408102944591,2023-03-30 21:17:14.643389497,2023-03-30 21:17:14.643389497,2023-03-30 21:17:14.643389497,2023-03-30 21:17:14.643389497,60,1,2023-03-30 21:17:20.674337091,2023-03-30 21:17:20.674337091,2023-03-30 21:17:20.674337091,2023-03-30 21:17:20.674337091,2023-03-30 21:17:20.674337091,2023-03-30 21:17:20.674337091,2023-03-30 21:17:20.674337091,2023-03-30 21:17:20.674337091,0,0,5,4,6,60,1,2023-03-30 21:17:20.674337091,2023-03-30 21:17:20.674337091,2023-03-30 21:17:20.674337091,2023-03-30 21:17:20.674337091,2023-03-30 21:17:20.674337091,2023-03-30 21:17:20.674337091,2023-03-30 21:17:20.674337091,2023-03-30 21:17:20.674337091,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,192.168.88.199,35.232.111.17,NIL,NIL,------S-,------S-,NIL,44284,80,NIL,641,0,0,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
7, 0,1,16328817556123231783,2023-03-30 21:17:14.643389497,2023-03-30 21:17:14.643389497,2023-03-30 21:17:14.643389497,2023-03-30 21:17:14.643389497,60,1,2023-03-30 21:17:20.674825551,2023-03-30 21:17:20.674825551,2023-03-30 21:17:20.674825551,2023-03-30 21:17:20.674825551,2023-03-30 21:17:20.674825551,2023-03-30 21:17:20.674825551,2023-03-30 21:17:20.674825551,2023-03-30 21:17:20.674825551,0,0,5,4,6,60,1,2023-03-30 21:17:20.674825551,2023-03-30 21:17:20.674825551,2023-03-30 21:17:20.674825551,2023-03-30 21:17:20.674825551,2023-03-30 21:17:20.674825551,2023-03-30 21:17:20.674825551,2023-03-30 21:17:20.674825551,2023-03-30 21:17:20.674825551,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,192.168.88.199,185.125.190.17,NIL,NIL,------S-,------S-,NIL,35284,80,NIL,641,0,0,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
8, 0,1,12722566134848779935,2023-03-30 21:17:14.643389497,2023-03-30 21:17:14.643389497,2023-03-30 21:17:14.643389497,2023-03-30 21:17:14.643389497,60,1,2023-03-30 21:17:21.692448770,2023-03-30 21:17:21.692448770,2023-03-30 21:17:21.692448770,2023-03-30 21:17:21.692448770,2023-03-30 21:17:21.692448770,2023-03-30 21:17:21.692448770,2023-03-30 21:17:21.692448770,2023-03-30 21:17:21.692448770,0,0,5,4,6,60,1,2023-03-30 21:17:21.692448770,2023-03-30 21:17:21.692448770,2023-03-30 21:17:21.692448770,2023-03-30 21:17:21.692448770,2023-03-30 21:17:21.692448770,2023-03-30 21:17:21.692448770,2023-03-30 21:17:21.692448770,2023-03-30 21:17:21.692448770,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,192.168.88.199,91.189.91.49,NIL,NIL,------S-,------S-,NIL,33158,80,NIL,641,0,0,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
9, 0,1,12008713937778764669,2023-03-30 21:17:14.643389497,2023-03-30 21:17:14.643389497,2023-03-30 21:17:14.643389497,2023-03-30 21:17:14.643389497,60,1,2023-03-30 21:17:21.693038261,2023-03-30 21:17:21.693038261,2023-03-30 21:17:21.693038261,2023-03-30 21:17:21.693038261,2023-03-30 21:17:21.693038261,2023-03-30 21:17:21.693038261,2023-03-30 21:17:21.693038261,2023-03-30 21:17:21.693038261,0,0,5,4,6,60,1,2023-03-30 21:17:21.693038261,2023-03-30 21:17:21.693038261,2023-03-30 21:17:21.693038261,2023-03-30 21:17:21.693038261,2023-03-30 21:17:21.693038261,2023-03-30 21:17:21.693038261,2023-03-30 21:17:21.693038261,2023-03-30 21:17:21.693038261,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,192.168.88.199,185.125.190.48,NIL,NIL,------S-,------S-,NIL,37400,80,NIL,641,0,0,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
