EXPORT_COUNTER, ZERO, ONE, CRC, FLOWMON_STARTUP_TIME_SEC, FLOWMON_STARTUP_TIME_MSEC, FLOWMON_STARTUP_TIME_USEC, FLOWMON_STARTUP_TIME_NSEC, BYTES, PACKETS, START_SEC, START_MSEC, START_USEC, START_NSEC, END_SEC, END_MSEC, END_USEC, END_NSEC, INPUT_INTERFACE, QUEUE_ID, FLAG_FLUSH, L3_PROTO, L4_PROTO, BYTES_A, PACKETS_A, START_SEC_A, START_MSEC_A, START_USEC_A, START_NSEC_A, END_SEC_A, END_MSEC_A, END_USEC_A, END_NSEC_A, BYTES_B, PACKETS_B, START_SEC_B, START_MSEC_B, START_USEC_B, START_NSEC_B, END_SEC_B, END_MSEC_B, END_USEC_B, END_NSEC_B, L3_IPV4_SRC, L3_IPV4_DST, L3_IPV6_SRC, L3_IPV6_DST, L4_TCP_FLAGS, L4_TCP_FLAGS_A, L4_TCP_FLAGS_B, L4_PORT_SRC, L4_PORT_DST, L4_ICMP_TYPE_CODE, FLAG_MISC, SAMPLING_RATE, SAMPLING_ALGORITHM, MODBUS_UNIT_ID, MODBUS_READ_REQUESTS, MODBUS_WRITE_REQUESTS, MODBUS_DIAGNOSTIC_REQUESTS, MODBUS_OTHER_REQUESTS, MODBUS_UNDEFINED_REQUESTS, MODBUS_SUCCESS_RESPONSES, MODBUS_ERROR_RESPONSES
0, 0,1,17732036128857544588,2023-03-30 21:19:42.876104669,2023-03-30 21:19:42.876104669,2023-03-30 21:19:42.876104669,2023-03-30 21:19:42.876104669,137,1,2023-03-30 21:19:44.093490127,2023-03-30 21:19:44.093490127,2023-03-30 21:19:44.093490127,2023-03-30 21:19:44.093490127,2023-03-30 21:19:44.093490127,2023-03-30 21:19:44.093490127,2023-03-30 21:19:44.093490127,2023-03-30 21:19:44.093490127,0,0,5,4,17,137,1,2023-03-30 21:19:44.093490127,2023-03-30 21:19:44.093490127,2023-03-30 21:19:44.093490127,2023-03-30 21:19:44.093490127,2023-03-30 21:19:44.093490127,2023-03-30 21:19:44.093490127,2023-03-30 21:19:44.093490127,2023-03-30 21:19:44.093490127,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,192.168.88.1,255.255.255.255,NIL,NIL,NIL,NIL,NIL,5678,5678,NIL,256,0,0,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
1, 0,1,10965273150981143097,2023-03-30 21:19:42.876104669,2023-03-30 21:19:42.876104669,2023-03-30 21:19:42.876104669,2023-03-30 21:19:42.876104669,80,1,2023-03-30 21:19:45.686040477,2023-03-30 21:19:45.686040477,2023-03-30 21:19:45.686040477,2023-03-30 21:19:45.686040477,2023-03-30 21:19:45.686040477,2023-03-30 21:19:45.686040477,2023-03-30 21:19:45.686040477,2023-03-30 21:19:45.686040477,0,0,5,4,1,80,1,2023-03-30 21:19:45.686040477,2023-03-30 21:19:45.686040477,2023-03-30 21:19:45.686040477,2023-03-30 21:19:45.686040477,2023-03-30 21:19:45.686040477,2023-03-30 21:19:45.686040477,2023-03-30 21:19:45.686040477,2023-03-30 21:19:45.686040477,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,192.168.88.199,192.168.88.254,NIL,NIL,NIL,NIL,NIL,NIL,NIL,769,256,0,0,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
2, 0,1,9303650072107702581,2023-03-30 21:19:42.876104669,2023-03-30 21:19:42.876104669,2023-03-30 21:19:42.876104669,2023-03-30 21:19:42.876104669,142,3,2023-03-30 21:19:47.239479131,2023-03-30 21:19:47.239479131,2023-03-30 21:19:47.239479131,2023-03-30 21:19:47.239479131,2023-03-30 21:19:47.281180639,2023-03-30 21:19:47.281180639,2023-03-30 21:19:47.281180639,2023-03-30 21:19:47.281180639,0,0,5,4,6,92,2,2023-03-30 21:19:47.239479131,2023-03-30 21:19:47.239479131,2023-03-30 21:19:47.239479131,2023-03-30 21:19:47.239479131,2023-03-30 21:19:47.281180639,2023-03-30 21:19:47.281180639,2023-03-30 21:19:47.281180639,2023-03-30 21:19:47.281180639,50,1,2023-03-30 21:19:47.240195892,2023-03-30 21:19:47.240195892,2023-03-30 21:19:47.240195892,2023-03-30 21:19:47.240195892,2023-03-30 21:19:47.240195892,2023-03-30 21:19:47.240195892,2023-03-30 21:19:47.240195892,2023-03-30 21:19:47.240195892,192.168.88.250,192.168.88.253,NIL,NIL,---AP---,---AP---,---AP---,50841,502,NIL,769,0,0,1,1,NIL,NIL,NIL,NIL,1,NIL
3, 0,1,10965273151766639254,2023-03-30 21:19:42.876104669,2023-03-30 21:19:42.876104669,2023-03-30 21:19:42.876104669,2023-03-30 21:19:42.876104669,78,1,2023-03-30 21:19:48.789873936,2023-03-30 21:19:48.789873936,2023-03-30 21:19:48.789873936,2023-03-30 21:19:48.789873936,2023-03-30 21:19:48.789873936,2023-03-30 21:19:48.789873936,2023-03-30 21:19:48.789873936,2023-03-30 21:19:48.789873936,0,0,5,4,1,78,1,2023-03-30 21:19:48.789873936,2023-03-30 21:19:48.789873936,2023-03-30 21:19:48.789873936,2023-03-30 21:19:48.789873936,2023-03-30 21:19:48.789873936,2023-03-30 21:19:48.789873936,2023-03-30 21:19:48.789873936,2023-03-30 21:19:48.789873936,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,192.168.88.199,192.168.88.253,NIL,NIL,NIL,NIL,NIL,NIL,NIL,769,256,0,0,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
4, 0,1,9303650072107702581,2023-03-30 21:19:42.876104669,2023-03-30 21:19:42.876104669,2023-03-30 21:19:42.876104669,2023-03-30 21:19:42.876104669,142,3,2023-03-30 21:19:59.919999732,2023-03-30 21:19:59.919999732,2023-03-30 21:19:59.919999732,2023-03-30 21:19:59.919999732,2023-03-30 21:19:59.964669148,2023-03-30 21:19:59.964669148,2023-03-30 21:19:59.964669148,2023-03-30 21:19:59.964669148,0,0,5,4,6,92,2,2023-03-30 21:19:59.919999732,2023-03-30 21:19:59.919999732,2023-03-30 21:19:59.919999732,2023-03-30 21:19:59.919999732,2023-03-30 21:19:59.964669148,2023-03-30 21:19:59.964669148,2023-03-30 21:19:59.964669148,2023-03-30 21:19:59.964669148,50,1,2023-03-30 21:19:59.920713744,2023-03-30 21:19:59.920713744,2023-03-30 21:19:59.920713744,2023-03-30 21:19:59.920713744,2023-03-30 21:19:59.920713744,2023-03-30 21:19:59.920713744,2023-03-30 21:19:59.920713744,2023-03-30 21:19:59.920713744,192.168.88.250,192.168.88.253,NIL,NIL,---AP---,---AP---,---AP---,50841,502,NIL,769,0,0,1,1,NIL,NIL,NIL,NIL,1,NIL
5, 0,1,10965273150981143097,2023-03-30 21:19:42.876104669,2023-03-30 21:19:42.876104669,2023-03-30 21:19:42.876104669,2023-03-30 21:19:42.876104669,240,3,2023-03-30 21:19:59.349878137,2023-03-30 21:19:59.349878137,2023-03-30 21:19:59.349878137,2023-03-30 21:19:59.349878137,2023-03-30 21:20:02.486085912,2023-03-30 21:20:02.486085912,2023-03-30 21:20:02.486085912,2023-03-30 21:20:02.486085912,0,0,5,4,1,240,3,2023-03-30 21:19:59.349878137,2023-03-30 21:19:59.349878137,2023-03-30 21:19:59.349878137,2023-03-30 21:19:59.349878137,2023-03-30 21:20:02.486085912,2023-03-30 21:20:02.486085912,2023-03-30 21:20:02.486085912,2023-03-30 21:20:02.486085912,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,192.168.88.199,192.168.88.254,NIL,NIL,NIL,NIL,NIL,NIL,NIL,769,256,0,0,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
6, 0,1,9303650072107702581,2023-03-30 21:19:42.876104669,2023-03-30 21:19:42.876104669,2023-03-30 21:19:42.876104669,2023-03-30 21:19:42.876104669,142,3,2023-03-30 21:20:12.605526061,2023-03-30 21:20:12.605526061,2023-03-30 21:20:12.605526061,2023-03-30 21:20:12.605526061,2023-03-30 21:20:12.646998069,2023-03-30 21:20:12.646998069,2023-03-30 21:20:12.646998069,2023-03-30 21:20:12.646998069,0,0,5,4,6,92,2,2023-03-30 21:20:12.605526061,2023-03-30 21:20:12.605526061,2023-03-30 21:20:12.605526061,2023-03-30 21:20:12.605526061,2023-03-30 21:20:12.646998069,2023-03-30 21:20:12.646998069,2023-03-30 21:20:12.646998069,2023-03-30 21:20:12.646998069,50,1,2023-03-30 21:20:12.606271678,2023-03-30 21:20:12.606271678,2023-03-30 21:20:12.606271678,2023-03-30 21:20:12.606271678,2023-03-30 21:20:12.606271678,2023-03-30 21:20:12.606271678,2023-03-30 21:20:12.606271678,2023-03-30 21:20:12.606271678,192.168.88.250,192.168.88.253,NIL,NIL,---AP---,---AP---,---AP---,50841,502,NIL,769,0,0,1,1,NIL,NIL,NIL,NIL,1,NIL
7, 0,1,10965273151766639254,2023-03-30 21:19:42.876104669,2023-03-30 21:19:42.876104669,2023-03-30 21:19:42.876104669,2023-03-30 21:19:42.876104669,156,2,2023-03-30 21:20:02.486082072,2023-03-30 21:20:02.486082072,2023-03-30 21:20:02.486082072,2023-03-30 21:20:02.486082072,2023-03-30 21:20:13.049984981,2023-03-30 21:20:13.049984981,2023-03-30 21:20:13.049984981,2023-03-30 21:20:13.049984981,0,0,5,4,1,156,2,2023-03-30 21:20:02.486082072,2023-03-30 21:20:02.486082072,2023-03-30 21:20:02.486082072,2023-03-30 21:20:02.486082072,2023-03-30 21:20:13.049984981,2023-03-30 21:20:13.049984981,2023-03-30 21:20:13.049984981,2023-03-30 21:20:13.049984981,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,192.168.88.199,192.168.88.253,NIL,NIL,NIL,NIL,NIL,NIL,NIL,769,256,0,0,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
8, 0,1,10965273150981143097,2023-03-30 21:19:42.876104669,2023-03-30 21:19:42.876104669,2023-03-30 21:19:42.876104669,2023-03-30 21:19:42.876104669,320,4,2023-03-30 21:20:16.693757436,2023-03-30 21:20:16.693757436,2023-03-30 21:20:16.693757436,2023-03-30 21:20:16.693757436,2023-03-30 21:20:23.734098854,2023-03-30 21:20:23.734098854,2023-03-30 21:20:23.734098854,2023-03-30 21:20:23.734098854,0,0,5,4,1,320,4,2023-03-30 21:20:16.693757436,2023-03-30 21:20:16.693757436,2023-03-30 21:20:16.693757436,2023-03-30 21:20:16.693757436,2023-03-30 21:20:23.734098854,2023-03-30 21:20:23.734098854,2023-03-30 21:20:23.734098854,2023-03-30 21:20:23.734098854,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,192.168.88.199,192.168.88.254,NIL,NIL,NIL,NIL,NIL,NIL,NIL,769,256,0,0,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
9, 0,1,9303650072107702581,2023-03-30 21:19:42.876104669,2023-03-30 21:19:42.876104669,2023-03-30 21:19:42.876104669,2023-03-30 21:19:42.876104669,142,3,2023-03-30 21:20:25.288334661,2023-03-30 21:20:25.288334661,2023-03-30 21:20:25.288334661,2023-03-30 21:20:25.288334661,2023-03-30 21:20:25.329140636,2023-03-30 21:20:25.329140636,2023-03-30 21:20:25.329140636,2023-03-30 21:20:25.329140636,0,0,5,4,6,92,2,2023-03-30 21:20:25.288334661,2023-03-30 21:20:25.288334661,2023-03-30 21:20:25.288334661,2023-03-30 21:20:25.288334661,2023-03-30 21:20:25.329140636,2023-03-30 21:20:25.329140636,2023-03-30 21:20:25.329140636,2023-03-30 21:20:25.329140636,50,1,2023-03-30 21:20:25.289062825,2023-03-30 21:20:25.289062825,2023-03-30 21:20:25.289062825,2023-03-30 21:20:25.289062825,2023-03-30 21:20:25.289062825,2023-03-30 21:20:25.289062825,2023-03-30 21:20:25.289062825,2023-03-30 21:20:25.289062825,192.168.88.250,192.168.88.253,NIL,NIL,---AP---,---AP---,---AP---,50841,502,NIL,769,0,0,1,1,NIL,NIL,NIL,NIL,1,NIL
