EXPORT_COUNTER, ZERO, ONE, CRC, FLOWMON_STARTUP_TIME_SEC, FLOWMON_STARTUP_TIME_MSEC, FLOWMON_STARTUP_TIME_USEC, FLOWMON_STARTUP_TIME_NSEC, BYTES, PACKETS, START_SEC, START_MSEC, START_USEC, START_NSEC, END_SEC, END_MSEC, END_USEC, END_NSEC, INPUT_INTERFACE, QUEUE_ID, FLAG_FLUSH, L3_PROTO, L4_PROTO, BYTES_A, PACKETS_A, START_SEC_A, START_MSEC_A, START_USEC_A, START_NSEC_A, END_SEC_A, END_MSEC_A, END_USEC_A, END_NSEC_A, BYTES_B, PACKETS_B, START_SEC_B, START_MSEC_B, START_USEC_B, START_NSEC_B, END_SEC_B, END_MSEC_B, END_USEC_B, END_NSEC_B, L3_IPV4_SRC, L3_IPV4_DST, L3_IPV6_SRC, L3_IPV6_DST, L4_TCP_FLAGS, L4_TCP_FLAGS_A, L4_TCP_FLAGS_B, L4_PORT_SRC, L4_PORT_DST, L4_ICMP_TYPE_CODE, FLAG_MISC, SAMPLING_RATE, SAMPLING_ALGORITHM, MODBUS_UNIT_ID, MODBUS_READ_REQUESTS, MODBUS_WRITE_REQUESTS, MODBUS_DIAGNOSTIC_REQUESTS, MODBUS_OTHER_REQUESTS, MODBUS_UNDEFINED_REQUESTS, MODBUS_SUCCESS_RESPONSES, MODBUS_ERROR_RESPONSES
0, 0,1,13663060511146119761,2023-03-30 21:19:42.846962398,2023-03-30 21:19:42.846962398,2023-03-30 21:19:42.846962398,2023-03-30 21:19:42.846962398,32876,529,2023-03-30 21:19:48.354772771,2023-03-30 21:19:48.354772771,2023-03-30 21:19:48.354772771,2023-03-30 21:19:48.354772771,2023-03-30 21:19:53.019194601,2023-03-30 21:19:53.019194601,2023-03-30 21:19:53.019194601,2023-03-30 21:19:53.019194601,0,0,5,4,6,18796,309,2023-03-30 21:19:48.354772771,2023-03-30 21:19:48.354772771,2023-03-30 21:19:48.354772771,2023-03-30 21:19:48.354772771,2023-03-30 21:19:53.019194601,2023-03-30 21:19:53.019194601,2023-03-30 21:19:53.019194601,2023-03-30 21:19:53.019194601,14080,220,2023-03-30 21:19:48.355644198,2023-03-30 21:19:48.355644198,2023-03-30 21:19:48.355644198,2023-03-30 21:19:48.355644198,2023-03-30 21:19:53.019069211,2023-03-30 21:19:53.019069211,2023-03-30 21:19:53.019069211,2023-03-30 21:19:53.019069211,192.168.88.250,192.168.88.252,NIL,NIL,---AP---,---AP---,---AP---,38538,502,NIL,769,0,0,1,NIL,220,NIL,NIL,NIL,220,NIL
1, 0,1,11639667716697541267,2023-03-30 21:19:42.846962398,2023-03-30 21:19:42.846962398,2023-03-30 21:19:42.846962398,2023-03-30 21:19:42.846962398,4312,70,2023-03-30 21:19:53.020149834,2023-03-30 21:19:53.020149834,2023-03-30 21:19:53.020149834,2023-03-30 21:19:53.020149834,2023-03-30 21:20:06.449516371,2023-03-30 21:20:06.449516371,2023-03-30 21:20:06.449516371,2023-03-30 21:20:06.449516371,0,0,5,4,6,2520,42,2023-03-30 21:19:53.020149834,2023-03-30 21:19:53.020149834,2023-03-30 21:19:53.020149834,2023-03-30 21:19:53.020149834,2023-03-30 21:20:06.449516371,2023-03-30 21:20:06.449516371,2023-03-30 21:20:06.449516371,2023-03-30 21:20:06.449516371,1792,28,2023-03-30 21:19:53.020875009,2023-03-30 21:19:53.020875009,2023-03-30 21:19:53.020875009,2023-03-30 21:19:53.020875009,2023-03-30 21:20:06.402881075,2023-03-30 21:20:06.402881075,2023-03-30 21:20:06.402881075,2023-03-30 21:20:06.402881075,192.168.88.250,192.168.88.251,NIL,NIL,---AP---,---AP---,---AP---,57160,502,NIL,769,0,0,1,NIL,28,NIL,NIL,NIL,28,NIL
2, 0,1,15970332861851451711,2023-03-30 21:19:42.846962398,2023-03-30 21:19:42.846962398,2023-03-30 21:19:42.846962398,2023-03-30 21:19:42.846962398,2872,46,2023-03-30 21:19:56.037504423,2023-03-30 21:19:56.037504423,2023-03-30 21:19:56.037504423,2023-03-30 21:19:56.037504423,2023-03-30 21:20:06.389500073,2023-03-30 21:20:06.389500073,2023-03-30 21:20:06.389500073,2023-03-30 21:20:06.389500073,0,0,5,4,6,1592,26,2023-03-30 21:19:56.037504423,2023-03-30 21:19:56.037504423,2023-03-30 21:19:56.037504423,2023-03-30 21:19:56.037504423,2023-03-30 21:20:06.389500073,2023-03-30 21:20:06.389500073,2023-03-30 21:20:06.389500073,2023-03-30 21:20:06.389500073,1280,20,2023-03-30 21:19:56.038414741,2023-03-30 21:19:56.038414741,2023-03-30 21:19:56.038414741,2023-03-30 21:19:56.038414741,2023-03-30 21:20:06.347882349,2023-03-30 21:20:06.347882349,2023-03-30 21:20:06.347882349,2023-03-30 21:20:06.347882349,192.168.88.250,192.168.88.254,NIL,NIL,---AP---,---AP---,---AP---,48258,502,NIL,769,0,0,1,NIL,20,NIL,NIL,NIL,20,NIL
3, 0,1,13663060511146119761,2023-03-30 21:19:42.846962398,2023-03-30 21:19:42.846962398,2023-03-30 21:19:42.846962398,2023-03-30 21:19:42.846962398,33622,541,2023-03-30 21:20:13.459134349,2023-03-30 21:20:13.459134349,2023-03-30 21:20:13.459134349,2023-03-30 21:20:13.459134349,2023-03-30 21:20:18.252656482,2023-03-30 21:20:18.252656482,2023-03-30 21:20:18.252656482,2023-03-30 21:20:18.252656482,0,0,5,4,6,19222,316,2023-03-30 21:20:13.459134349,2023-03-30 21:20:13.459134349,2023-03-30 21:20:13.459134349,2023-03-30 21:20:13.459134349,2023-03-30 21:20:18.252656482,2023-03-30 21:20:18.252656482,2023-03-30 21:20:18.252656482,2023-03-30 21:20:18.252656482,14400,225,2023-03-30 21:20:13.460023872,2023-03-30 21:20:13.460023872,2023-03-30 21:20:13.460023872,2023-03-30 21:20:13.460023872,2023-03-30 21:20:18.252381467,2023-03-30 21:20:18.252381467,2023-03-30 21:20:18.252381467,2023-03-30 21:20:18.252381467,192.168.88.250,192.168.88.252,NIL,NIL,---AP---,---AP---,---AP---,38538,502,NIL,769,0,0,1,NIL,225,NIL,NIL,NIL,225,NIL
4, 0,1,17732036128857544588,2023-03-30 21:19:42.846962398,2023-03-30 21:19:42.846962398,2023-03-30 21:19:42.846962398,2023-03-30 21:19:42.846962398,137,1,2023-03-30 21:20:12.175505406,2023-03-30 21:20:12.175505406,2023-03-30 21:20:12.175505406,2023-03-30 21:20:12.175505406,2023-03-30 21:20:12.175505406,2023-03-30 21:20:12.175505406,2023-03-30 21:20:12.175505406,2023-03-30 21:20:12.175505406,0,0,5,4,17,137,1,2023-03-30 21:20:12.175505406,2023-03-30 21:20:12.175505406,2023-03-30 21:20:12.175505406,2023-03-30 21:20:12.175505406,2023-03-30 21:20:12.175505406,2023-03-30 21:20:12.175505406,2023-03-30 21:20:12.175505406,2023-03-30 21:20:12.175505406,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,192.168.88.1,255.255.255.255,NIL,NIL,NIL,NIL,NIL,5678,5678,NIL,256,0,0,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
5, 0,1,11639667716697541267,2023-03-30 21:19:42.846962398,2023-03-30 21:19:42.846962398,2023-03-30 21:19:42.846962398,2023-03-30 21:19:42.846962398,4312,70,2023-03-30 21:20:18.253939872,2023-03-30 21:20:18.253939872,2023-03-30 21:20:18.253939872,2023-03-30 21:20:18.253939872,2023-03-30 21:20:31.689453416,2023-03-30 21:20:31.689453416,2023-03-30 21:20:31.689453416,2023-03-30 21:20:31.689453416,0,0,5,4,6,2520,42,2023-03-30 21:20:18.253939872,2023-03-30 21:20:18.253939872,2023-03-30 21:20:18.253939872,2023-03-30 21:20:18.253939872,2023-03-30 21:20:31.689453416,2023-03-30 21:20:31.689453416,2023-03-30 21:20:31.689453416,2023-03-30 21:20:31.689453416,1792,28,2023-03-30 21:20:18.254759760,2023-03-30 21:20:18.254759760,2023-03-30 21:20:18.254759760,2023-03-30 21:20:18.254759760,2023-03-30 21:20:31.644347916,2023-03-30 21:20:31.644347916,2023-03-30 21:20:31.644347916,2023-03-30 21:20:31.644347916,192.168.88.250,192.168.88.251,NIL,NIL,---AP---,---AP---,---AP---,57160,502,NIL,769,0,0,1,NIL,28,NIL,NIL,NIL,28,NIL
6, 0,1,15970332861851451711,2023-03-30 21:19:42.846962398,2023-03-30 21:19:42.846962398,2023-03-30 21:19:42.846962398,2023-03-30 21:19:42.846962398,2872,46,2023-03-30 21:20:21.276685166,2023-03-30 21:20:21.276685166,2023-03-30 21:20:21.276685166,2023-03-30 21:20:21.276685166,2023-03-30 21:20:31.633396103,2023-03-30 21:20:31.633396103,2023-03-30 21:20:31.633396103,2023-03-30 21:20:31.633396103,0,0,5,4,6,1592,26,2023-03-30 21:20:21.276685166,2023-03-30 21:20:21.276685166,2023-03-30 21:20:21.276685166,2023-03-30 21:20:21.276685166,2023-03-30 21:20:31.633396103,2023-03-30 21:20:31.633396103,2023-03-30 21:20:31.633396103,2023-03-30 21:20:31.633396103,1280,20,2023-03-30 21:20:21.277500813,2023-03-30 21:20:21.277500813,2023-03-30 21:20:21.277500813,2023-03-30 21:20:21.277500813,2023-03-30 21:20:31.590761735,2023-03-30 21:20:31.590761735,2023-03-30 21:20:31.590761735,2023-03-30 21:20:31.590761735,192.168.88.250,192.168.88.254,NIL,NIL,---AP---,---AP---,---AP---,48258,502,NIL,769,0,0,1,NIL,20,NIL,NIL,NIL,20,NIL
7, 0,1,11768789151576669133,2023-03-30 21:19:42.846962398,2023-03-30 21:19:42.846962398,2023-03-30 21:19:42.846962398,2023-03-30 21:19:42.846962398,5904,18,2023-03-30 21:19:47.875032986,2023-03-30 21:19:47.875032986,2023-03-30 21:19:47.875032986,2023-03-30 21:19:47.875032986,2023-03-30 21:20:47.657360003,2023-03-30 21:20:47.657360003,2023-03-30 21:20:47.657360003,2023-03-30 21:20:47.657360003,0,0,4,4,17,5904,18,2023-03-30 21:19:47.875032986,2023-03-30 21:19:47.875032986,2023-03-30 21:19:47.875032986,2023-03-30 21:19:47.875032986,2023-03-30 21:20:47.657360003,2023-03-30 21:20:47.657360003,2023-03-30 21:20:47.657360003,2023-03-30 21:20:47.657360003,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,0.0.0.0,255.255.255.255,NIL,NIL,NIL,NIL,NIL,68,67,NIL,256,0,0,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
8, 0,1,13663060511146119761,2023-03-30 21:19:42.846962398,2023-03-30 21:19:42.846962398,2023-03-30 21:19:42.846962398,2023-03-30 21:19:42.846962398,33622,541,2023-03-30 21:20:38.703384575,2023-03-30 21:20:38.703384575,2023-03-30 21:20:38.703384575,2023-03-30 21:20:38.703384575,2023-03-30 21:20:43.503692847,2023-03-30 21:20:43.503692847,2023-03-30 21:20:43.503692847,2023-03-30 21:20:43.503692847,0,0,5,4,6,19222,316,2023-03-30 21:20:38.703384575,2023-03-30 21:20:38.703384575,2023-03-30 21:20:38.703384575,2023-03-30 21:20:38.703384575,2023-03-30 21:20:43.503692847,2023-03-30 21:20:43.503692847,2023-03-30 21:20:43.503692847,2023-03-30 21:20:43.503692847,14400,225,2023-03-30 21:20:38.704278580,2023-03-30 21:20:38.704278580,2023-03-30 21:20:38.704278580,2023-03-30 21:20:38.704278580,2023-03-30 21:20:43.503484235,2023-03-30 21:20:43.503484235,2023-03-30 21:20:43.503484235,2023-03-30 21:20:43.503484235,192.168.88.250,192.168.88.252,NIL,NIL,---AP---,---AP---,---AP---,38538,502,NIL,769,0,0,1,NIL,225,NIL,NIL,NIL,225,NIL
9, 0,1,16829534155275081396,2023-03-30 21:19:42.846962398,2023-03-30 21:19:42.846962398,2023-03-30 21:19:42.846962398,2023-03-30 21:19:42.846962398,33210,553,2023-03-30 21:19:48.353640342,2023-03-30 21:19:48.353640342,2023-03-30 21:19:48.353640342,2023-03-30 21:19:48.353640342,2023-03-30 21:20:46.585462377,2023-03-30 21:20:46.585462377,2023-03-30 21:20:46.585462377,2023-03-30 21:20:46.585462377,0,0,4,4,6,20876,356,2023-03-30 21:19:48.353640342,2023-03-30 21:19:48.353640342,2023-03-30 21:19:48.353640342,2023-03-30 21:19:48.353640342,2023-03-30 21:20:46.585462377,2023-03-30 21:20:46.585462377,2023-03-30 21:20:46.585462377,2023-03-30 21:20:46.585462377,12334,197,2023-03-30 21:19:48.354478429,2023-03-30 21:19:48.354478429,2023-03-30 21:19:48.354478429,2023-03-30 21:19:48.354478429,2023-03-30 21:20:46.543498340,2023-03-30 21:20:46.543498340,2023-03-30 21:20:46.543498340,2023-03-30 21:20:46.543498340,192.168.88.250,192.168.88.253,NIL,NIL,---AP---,---AP---,---AP---,44760,502,NIL,769,0,0,1,137,61,NIL,NIL,NIL,197,NIL
